District code,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,LPG_or_PNG_Households,Christians,LPG_or_PNG_Households,Sikhs,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Buddhists,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Jains,Others_Religions,Rural_Households,Urban_Households,State,District,Latitude,Longitude,sex_ratio,literate_rate
75,Panipat,1205437,646857,558580,786599,464136,322463,1083936,86622,121846,2261,121846,25064,739075,298764,167244,289,209965,10024,26719,4647,99,173502,153804,Haryana,Panipat,29.34352134146342,76.92895914634147,115.80382398224067,65.25426048810515
77,Jind,1334152,713006,621146,832758,502049,330709,1276669,23016,78386,889,78386,29103,784085,335704,213478,172,222462,5263,23750,2594,56,278335,89665,Haryana,Jind,29.45149821958457,76.29598575667653,114.78879361695962,62.41852502563427
78,Fatehabad,942011,495360,446651,557578,327471,230107,779243,8360,51693,996,51693,150969,555745,237009,147469,171,153301,3210,13142,1172,530,203020,55360,Haryana,Fatehabad,29.57298318584072,75.54608716814157,110.90538250222208,59.19017930788494
79,Sirsa,1295189,682582,612607,782897,456968,325929,940255,9524,70538,2186,70538,338962,750228,334344,208185,370,215527,6287,22706,2256,624,245476,93316,Haryana,Sirsa,29.63583446327684,74.90970480225988,111.422494356088,60.446544867196984
80,Hisar,1743931,931562,812369,1114311,670200,444111,1701061,21650,110495,1945,110495,12270,1017830,456536,265109,334,285004,10132,33400,3620,33,302013,154113,Haryana,Hisar,29.23628731117825,75.84324682779452,114.67227331422052,63.89650737328484
81,Bhiwani,1634445,866672,767773,1069871,643158,426713,1611031,15515,88938,873,88938,2401,964960,405760,261428,254,266244,5292,25236,1016,26,357047,99235,Haryana,Bhiwani,28.728868064516128,76.02110225806452,112.88128131622237,65.45775477302693
82,Rohtak,1061204,568479,492725,747582,436025,311557,1043887,8185,94633,732,94633,3916,605741,269354,185685,200,193120,8482,27225,3491,24,175203,131739,Haryana,Rohtak,28.892517647058817,76.53123235294117,115.37449895986605,70.44658708410448
83,Jhajjar,958405,514667,443738,676091,399480,276611,945693,8247,70149,734,70149,1042,549975,245095,162356,105,168558,5034,19241,645,22,211816,78328,Haryana,Jhajjar,28.59651868131869,76.61137142857145,115.98443225506942,70.5433506711672
84,Mahendragarh,922088,486665,435423,630255,380440,249815,913251,5660,45359,301,45359,1737,530000,229392,161258,75,135455,2624,13908,644,15,223726,44216,Haryana,Mahendragarh,28.1352161458333,76.14018072916659,111.7683264319983,68.35085154562255
85,Rewari,900332,474335,425997,636947,375453,261494,889133,5713,62667,701,62667,1804,518747,230704,150557,202,152651,5121,18092,1525,12,199449,69305,Haryana,Rewari,28.19164714828897,76.55956007604564,111.34702826545725,70.74579155244955
86,Gurgaon,1514432,816690,697742,1111116,638666,472450,1408801,70842,238359,9725,238359,15097,875531,428101,210307,944,305751,67087,102343,7451,254,141703,381988,Haryana,Gurgaon,28.043894789579163,77.01935130260523,117.04756199282829,73.3684972319655
88,Faridabad,1809733,966110,843623,1272739,734940,537799,1588407,161680,258422,9743,258422,34572,1095602,481318,231029,640,333171,43437,82673,4883,249,87700,382981,Haryana,Faridabad,28.14873109756098,77.32718536585368,114.51916318070987,70.32744609287668
93,East,1709346,907500,801846,1352998,748382,604616,1410852,178807,327253,15792,327253,53027,948963,497157,262124,2643,352758,80037,127465,46927,366,1086,461132,Sikkim,East,27.29600352941175,88.74908392156858,113.17634558256822,79.15296259505097
99,Ganganagar,1969168,1043340,925828,1193343,710908,482435,1437144,50688,88543,2077,88543,474853,1167889,502211,283484,938,283142,6295,24901,1988,164,397697,164897,Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,112.69263837343438,60.6013808877658
100,Hanumangarh,1774692,931184,843508,1034136,624281,409855,1433067,118673,55515,1542,55515,216997,1058044,453114,242361,241,243163,3360,16217,1935,138,389059,108694,Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,110.3942108432878,58.271294399253506
101,Bikaner,2363937,1240801,1123136,1278801,782399,496402,2073356,235741,108812,1901,108812,20072,1543867,517271,288165,285,220793,7607,29531,30850,79,335754,196179,Rajasthan,Bikaner,28.12489068322981,73.26943322981371,110.4764694569491,54.09623860534354
102,Churu,2039547,1051446,988101,1149269,696729,452540,1777879,249736,74197,958,74197,402,1293193,458725,272176,188,231696,2577,15259,7104,127,344897,148996,Rajasthan,Churu,28.29330375536484,74.65846427038629,106.41078189375376,56.34922852966859
103,Jhunjhunun,2137045,1095896,1041149,1370360,815834,554526,1905682,228178,131987,1004,131987,275,1298780,494124,330126,56,297559,4828,24178,548,85,500452,150357,Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,105.25832517728011,64.12405915645202
104,Alwar,3674179,1939026,1735153,2182476,1359829,822647,3039279,547335,123478,2696,123478,64532,2346721,836000,490137,4384,485723,9750,45770,13221,348,782294,212967,Rajasthan,Alwar,27.55271738035265,76.65359630562563,111.74956905817528,59.40037216477477
105,Bharatpur,2548462,1355726,1192736,1480869,943910,536959,2143046,371286,61113,1576,61113,23456,1659515,546362,329127,899,288723,4179,26106,5758,18,479437,129697,Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,113.66522013253561,58.108341423179944
106,Dhaulpur,1206516,653647,552869,683098,435721,247377,1127520,72258,24561,688,24561,1356,815651,248416,141365,92,96086,1330,9504,2739,21,214670,58626,Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,118.22818787090613,56.617400846735556
107,Karauli,1458248,783639,674609,805849,531904,273945,1370977,81553,28296,602,28296,297,947173,310688,192042,70,132079,1059,13045,3424,413,305047,59308,Rajasthan,Karauli,26.51901555555556,76.96081818181815,116.16195455441596,55.26145072717398
108,Sawai Madhopur,1335551,704031,631520,741748,486184,255564,1165505,155681,40116,945,40116,812,841697,309237,183234,177,140947,1887,14310,9991,42,282057,71264,Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,111.48197998479858,55.53872521528568
109,Dausa,1634409,857787,776622,938051,596935,341116,1582335,45488,35600,439,35600,296,1047136,358718,210117,94,195277,1719,14539,3737,115,361084,59610,Rajasthan,Dausa,26.91234817629181,76.57342097264443,110.45103023092315,57.39389589753849
110,Jaipur,6626178,3468507,3157671,4300965,2554793,1746172,5819980,687452,570997,12708,570997,18782,4091148,1646480,884057,1020,990085,76565,182350,81079,257,754841,977838,Rajasthan,Jaipur,27.033459290187885,75.77117286012533,109.84383743588234,64.90868491610095
111,Sikar,2677333,1374990,1302343,1652117,995275,656842,2342076,327583,131342,1122,131342,356,1672813,605002,381226,177,339457,5647,28382,4050,15,527560,178274,Rajasthan,Sikar,27.64644058641976,75.29317422839503,105.57817717759454,61.7075649536311
112,Nagaur,3307743,1696325,1611418,1758624,1102750,655874,2833443,454487,97267,1912,97267,366,2088323,754143,463469,163,347344,4449,35328,12940,276,675712,166489,Rajasthan,Nagaur,27.07862016048146,74.14215667001012,105.26908598513856,53.16688751211929
113,Jodhpur,3687165,1923928,1763237,2031532,1265753,765779,3224399,411558,197135,6035,197135,4123,2359786,836322,489280,514,408808,19335,54808,36697,80,584215,307442,Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,109.11340903123063,55.09739867893083
114,Jaisalmer,669919,361708,308211,308653,210415,98238,497045,168129,12431,874,12431,1723,448969,140294,79977,98,43141,754,7416,1521,34,159117,30830,Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,117.3572649905422,46.07318198170226
115,Barmer,2603751,1369022,1234729,1188322,783461,404861,2244882,321192,39580,1157,39580,450,1731122,527629,326476,157,126494,2766,37730,34010,34,542825,55980,Rajasthan,Barmer,25.77070908045978,71.50297126436782,110.87631374981879,45.63884949060029
116,Jalor,1828730,936634,892096,829582,543923,285659,1732852,78990,39745,730,39745,231,1176496,390598,249379,144,161845,1585,12794,14640,82,419216,48202,Rajasthan,Jalor,25.07578093797277,72.18647261724662,104.99251201664394,45.36383173021715
117,Sirohi,1036346,534231,502115,476806,309900,166906,996562,30479,47182,1284,47182,572,649290,244401,142251,114,134089,2146,10297,6829,56,238535,69639,Rajasthan,Sirohi,24.7976905263158,72.75309131578943,106.39614430957052,46.008379440843115
118,Pali,2037573,1025422,1012151,1085693,667381,418312,1870543,143476,94821,1345,94821,1540,1207983,467436,343384,141,326793,4043,19270,18974,52,512909,139808,Rajasthan,Pali,25.80490393541874,73.55285640766907,101.31116799766042,53.28363695435697
119,Ajmer,2583052,1324085,1258967,1526673,926268,600405,2201663,314159,171799,10605,171799,6799,1561077,629951,388040,417,393498,13499,41732,45614,184,409335,274919,Rajasthan,Ajmer,26.199300378787903,74.6990419191919,105.17233573239014,59.10345591184382
120,Tonk,1421326,728136,693190,749659,478329,271330,1243527,153146,32359,754,32359,378,880194,334006,205593,122,158264,1908,12482,22458,30,298911,81755,Rajasthan,Tonk,26.153935071707927,75.79192216427637,105.04133065970369,52.743635168849366
121,Bundi,1110906,577160,533746,585044,371705,213339,1017688,66609,33406,682,33406,11059,686771,267648,155958,144,136969,1392,7705,13455,24,239836,63452,Rajasthan,Bundi,25.48580716049379,75.79984074074079,108.13383144791717,52.66368171564471
122,Bhilwara,2408523,1220736,1187787,1256126,777582,478544,2224839,142427,93768,1978,93768,1468,1439454,589476,365023,183,373644,6207,24014,35149,60,530015,145865,Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,102.77398220387998,52.15337366510513
123,Rajsamand,1156597,581339,575258,619139,383334,235805,1105676,33677,36073,759,36073,260,687165,275099,193668,100,193276,1989,9222,14966,68,304622,61054,Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,101.05709090529815,53.53109164211908
124,Dungarpur,1388552,696532,692020,681591,415820,265771,1340065,28662,26351,830,26351,240,868458,317700,191917,226,141275,1477,11742,16141,853,322816,31547,Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,100.65200427733303,49.086458411352254
125,Banswara,1797485,907754,889731,829343,513854,315489,1701234,48834,34189,22250,34189,427,1153029,406214,216554,138,120603,2324,15062,22613,109,390437,39407,Rajasthan,Banswara,23.453642032967014,74.44246868131869,102.02566843236889,46.13907765572453
126,Chittaurgarh,1544338,783171,761167,821825,514851,306974,1413163,97855,59190,1274,59190,1515,880043,398303,258997,252,268172,4941,16560,25843,136,366780,88873,Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,102.89082422122873,53.215358295917085
127,Kota,1951014,1021161,929853,1298345,765396,532949,1661307,243993,165563,5665,165563,11058,1177474,495896,275396,280,339899,12843,36297,25742,286,203454,311735,Rajasthan,Kota,25.175718080000014,76.18618928000001,109.81961664908324,66.5471903328218
128,Baran,1222755,633945,588810,693307,432607,260700,1133349,79984,32685,1432,32685,3066,762204,286344,173100,84,161310,1363,9491,2795,48,249184,69804,Rajasthan,Baran,24.98023243243244,76.86210651828291,107.66546084475468,56.70040196114512
129,Jhalawar,1411129,725143,685986,739792,466815,272977,1299751,96164,38909,842,38909,819,850546,346110,213674,46,220428,1750,9403,12488,42,298624,63763,Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,105.70813398524169,52.42554011716859
130,Udaipur,3068420,1566801,1501619,1582629,973444,609185,2869976,104307,128320,7406,128320,4278,1876436,739287,451034,209,357846,14211,48517,78647,373,665449,182769,Rajasthan,Udaipur,24.44076752136749,73.84029839743584,104.3407815164832,51.57797824287418
131,Pratapgarh,867848,437744,430104,401515,250122,151393,827293,25597,17984,358,17984,72,545987,204801,115608,32,71612,716,5961,14077,27,209813,24269,Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,101.77631456577944,46.26559028770015
173,Pratapgarh,3209141,1606085,1603056,1931559,1121381,810178,2731351,452394,46358,3920,46358,1451,2002569,703727,492097,7795,140538,5149,34400,746,43,711085,41701,Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,100.18895160243935,60.18928429757371
132,Saharanpur,3466382,1834106,1632276,2077108,1220114,856994,1966892,1454052,149035,6523,149035,18627,2228689,769736,433862,1937,404499,9699,38816,10208,135,605082,284156,Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095,112.36494318362827,59.92149739988264
133,Muzaffarnagar,4143512,2193434,1950078,2417339,1448528,968811,2382914,1711453,147785,6495,147785,18601,2671757,911621,544283,1516,368153,10077,56149,16345,60,673746,296104,Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423,112.47929569996687,58.34034027173084
134,Bijnor,3682713,1921215,1761498,2135393,1241471,893922,2032081,1585210,128042,6184,128042,50624,2404576,786305,450186,1736,268353,7303,37341,2134,41,683875,224648,Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754,109.0671121965509,57.984236078130444
135,Moradabad,4772006,2503186,2268820,2263848,1357435,906413,2488265,2248392,179473,13157,179473,7555,3168270,988486,525574,1260,281758,11690,61846,2426,382,692398,355518,Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597,110.32986310064263,47.44017505426439
